,!=,#,(,),*,+,",",-,:,:=,;,<,<=,=,>,>=,and,call,do,else,goto,i,if,label,not,null,or,then,while,{,},<<BAND>>,<<BCMP>>,<<BEXPR>>,<<BNOT>>,<<ELIST>>,<<EXPR>>,<<FACTOR>>,<<ID>>,<<LABEL>>,<<NEG>>,<<OPENSTMT>>,<<RELOP>>,<<START>>,<<STMT>>,<<TERM>>,A,L,M,N,S,
27,0,0,0,0,0,0,0,0,0,0,s83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,r19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29,0,0,s90,0,0,0,0,s54,0,0,0,0,0,0,0,0,0,0,0,0,0,s57,0,0,s88,0,0,0,0,0,0,85,87,84,86,0,89,55,56,0,21,0,0,0,0,53,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s33,0,0,s35,s13,s29,s34,0,0,0,0,s32,s31,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,30,91,0,0,28,
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s33,0,0,s35,s13,s29,s34,0,0,0,0,s32,s31,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,30,0,0,0,94,
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,
36,0,0,0,0,0,0,0,0,0,s97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
37,0,0,s104,0,0,0,0,s54,0,0,0,0,0,0,0,0,0,0,0,0,0,s57,0,0,s102,0,0,0,0,0,0,99,101,98,100,0,103,55,56,0,105,0,0,0,0,53,0,0,0,0,0,
38,0,0,r21,0,0,0,0,r21,0,0,0,0,0,0,0,0,0,0,0,0,0,r21,0,0,r21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,0,0,s106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,0,0,r17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,0,r38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,0,0,s90,0,0,0,0,s54,0,0,0,0,0,0,0,0,0,0,0,0,0,s57,0,0,s88,0,0,0,0,0,0,85,87,107,86,0,89,55,56,0,21,0,0,0,0,53,0,0,0,0,0,
43,0,r39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,0,r17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,0,0,s114,0,0,0,0,s111,0,0,0,0,0,0,0,0,0,0,0,0,0,s44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,112,113,0,109,0,0,0,0,110,0,0,0,0,0,
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0,
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,r10,0,0,0,0,0,0,0,0,0,r10,r10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,s60,0,0,0,0,s120,0,0,0,0,0,s61,s62,s59,s63,s64,r5,0,0,0,0,0,0,0,0,0,r5,r5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,
51,0,0,s72,0,0,0,0,s75,0,0,0,0,0,0,0,0,0,0,0,0,0,s57,0,0,s70,0,0,0,0,0,0,67,69,121,68,0,122,55,25,0,73,0,0,0,0,74,0,0,0,0,0,
52,r13,0,0,0,0,r13,0,0,0,0,0,r13,r13,r13,r13,r13,r13,0,0,0,0,0,0,0,0,0,r13,r13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,r23,0,0,0,s123,0,0,0,0,0,0,r23,r23,r23,r23,r23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,0,0,s125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,56,0,0,0,0,0,0,124,0,0,0,0,0,
55,r43,0,0,0,r43,0,0,0,0,0,0,r43,r43,r43,r43,r43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,r15,0,0,0,0,0,0,0,0,0,0,r15,r15,r15,r15,r15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,r17,0,0,0,0,0,0,0,0,0,0,r17,r17,r17,r17,r17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,0,0,s132,0,0,0,0,s129,0,0,0,0,0,0,0,0,0,0,0,0,0,s133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,130,131,0,127,0,0,0,0,128,0,0,0,0,0,
59,0,0,r27,0,0,0,0,r27,0,0,0,0,0,0,0,0,0,0,0,0,0,r27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,0,0,r28,0,0,0,0,r28,0,0,0,0,0,0,0,0,0,0,0,0,0,r28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,0,0,r29,0,0,0,0,r29,0,0,0,0,0,0,0,0,0,0,0,0,0,r29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,0,0,r30,0,0,0,0,r30,0,0,0,0,0,0,0,0,0,0,0,0,0,r30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,0,0,r31,0,0,0,0,r31,0,0,0,0,0,0,0,0,0,0,0,0,0,r31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,0,0,r32,0,0,0,0,r32,0,0,0,0,0,0,0,0,0,0,0,0,0,r32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,0,0,s80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,79,0,0,0,0,0,0,134,0,0,0,0,0,
66,0,0,0,s135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,0,0,0,r7,0,0,0,0,0,0,0,0,0,0,0,0,s137,0,0,0,0,0,0,0,0,0,r7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,0,0,0,r2,0,0,0,0,0,0,0,0,0,0,0,0,r2,0,0,0,0,0,0,0,0,0,r2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,0,0,0,r9,0,0,0,0,0,0,0,0,0,0,0,0,r9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,0,0,s140,0,0,0,0,s54,0,0,0,0,0,0,0,0,0,0,0,0,0,s57,0,0,s70,0,0,0,0,0,0,0,69,0,138,0,139,55,56,0,141,0,0,0,0,53,0,0,0,0,0,
71,s60,0,0,r5,0,s143,0,0,0,0,0,s61,s62,s59,s63,s64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,
72,0,0,s72,0,0,0,0,s75,0,0,0,0,0,0,0,0,0,0,0,0,0,s57,0,0,s70,0,0,0,0,0,0,67,69,145,68,0,71,55,25,0,73,0,0,0,0,74,0,0,0,0,0,
73,r13,0,0,r13,0,r13,0,0,0,0,0,r13,r13,r13,r13,r13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,r23,0,0,r23,s123,r23,0,0,0,0,0,r23,r23,r23,r23,r23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,0,0,s149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,148,0,0,0,0,0,0,146,0,0,0,0,0,
76,0,0,s153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,s154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,152,0,0,0,0,0,0,0,0,0,0,0,0,
77,r24,0,0,0,s155,r24,0,0,0,0,0,r24,r24,r24,r24,r24,0,0,0,0,0,0,0,0,0,0,0,r24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,r43,0,0,0,r43,r43,0,0,0,0,0,r43,r43,r43,r43,r43,0,0,0,0,0,0,0,0,0,0,0,r43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,r15,0,0,0,0,r15,0,0,0,0,0,r15,r15,r15,r15,r15,0,0,0,0,0,0,0,0,0,0,0,r15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,0,0,s162,0,0,0,0,s159,0,0,0,0,0,0,0,0,0,0,0,0,0,s163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,160,161,0,157,0,0,0,0,158,0,0,0,0,0,
